,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,player_ranking,opponent_name,match_win_loss,match_score
134,2001,Moscow,"Moscow, Russia",2001.10.01 - 2001.10.07,Indoor,Carpet,12,Nicolas Kiefer,L,36 61 67(4) 
135,2001,US Open,"New York, NY, U.S.A.",2001.08.27 - 2001.09.09,Outdoor,Hard,13,Andre Agassi,L,16 26 46
136,2001,US Open,"New York, NY, U.S.A.",2001.08.27 - 2001.09.09,Outdoor,Hard,13,Sjeng Schalken,W,64 75 76(3) 
137,2001,US Open,"New York, NY, U.S.A.",2001.08.27 - 2001.09.09,Outdoor,Hard,13,Robby Ginepri,W,62 75 61
138,2001,US Open,"New York, NY, U.S.A.",2001.08.27 - 2001.09.09,Outdoor,Hard,13,Lars Burgsmuller,W,64 64 64
139,2001,Gstaad,"Gstaad, Switzerland",2001.07.09 - 2001.07.15,Outdoor,Clay,14,Ivan Ljubicic,L,26 16
140,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,15,Tim Henman,L,57 67(6) 62 67(6) 
141,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,15,Pete Sampras,W,76(7) 57 64 67(2) 75
142,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,15,Jonas Bjorkman,W,76(4) 63 76(2) 
143,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,15,Xavier Malisse,W,63 75 36 46 63
144,2001,Wimbledon,"London, England",2001.06.25 - 2001.07.08,Outdoor,Grass,15,Christophe Rochus,W,62 63 62
145,2001,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2001.06.18 - 2001.06.24,Outdoor,Grass,15,Lleyton Hewitt,L,46 26
146,2001,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2001.06.18 - 2001.06.24,Outdoor,Grass,15,Raemon Sluiter,W,67(4) 64 64
147,2001,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2001.06.18 - 2001.06.24,Outdoor,Grass,15,John van Lottum,W,60 61
148,2001,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2001.06.18 - 2001.06.24,Outdoor,Grass,15,Antony Dupuis,W,76(3) 64
149,2001,Halle,"Halle, Germany",2001.06.11 - 2001.06.17,Outdoor,Grass,14,Patrick Rafter,L,64 67(6) 67(4) 
150,2001,Halle,"Halle, Germany",2001.06.11 - 2001.06.17,Outdoor,Grass,14,David Prinosil,W,76(8) 75
151,2001,Halle,"Halle, Germany",2001.06.11 - 2001.06.17,Outdoor,Grass,14,Albert Portas,W,67(4) 64 62
152,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,18,Alex Corretja,L,57 46 57
153,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,18,Wayne Arthurs,W,36 63 64 62
154,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,18,David Sanchez,W,64 63 16 63
155,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,18,Sargis Sargsian,W,46 36 62 64 97
156,2001,Roland Garros,"Paris, France",2001.05.28 - 2001.06.10,Outdoor,Clay,18,Stefano Galvani,W,63 63 63
157,2001,ATP Masters Series Hamburg,"Hamburg, Germany",2001.05.14 - 2001.05.20,Outdoor,Clay,18,Franco Squillari,L,36 46
